1:261	2:5	3:19	4:0	5:23	6:32	7:25	8:260	9:6	10:19	11:25	12:32	13:18	14:4	37	37
1:123	2:6	3:19	4:25	5:25	6:32	7:25	8:123	9:6	10:19	11:25	12:25	13:32	14:25	1	1
1:240	2:1	3:19	4:-1	5:-1	6:23	7:32	8:240	9:1	10:19	11:15	12:25	13:0	14:32	1	1
1:50	2:5	3:19	4:18	5:25	6:18	7:19	8:232	9:6	10:19	11:19	12:18	13:32	14:25	18	18
1:50	2:5	3:19	4:32	5:1	6:18	7:18	8:232	9:6	10:19	11:0	12:25	13:18	14:3	18	18
1:50	2:5	3:19	4:20	5:25	6:32	7:18	8:232	9:6	10:19	11:18	12:25	13:23	14:4	18	18
1:232	2:6	3:19	4:23	5:23	6:32	7:0	8:232	9:6	10:19	11:18	12:32	13:23	14:19	1	1
1:232	2:6	3:19	4:18	5:32	6:23	7:19	8:232	9:6	10:19	11:32	12:20	13:25	14:23	1	1
1:51	2:5	3:19	4:0	5:30	6:18	7:18	8:51	9:5	10:19	11:24	12:32	13:18	14:18	1	1
1:64	2:5	3:19	4:-1	5:-1	6:13	7:18	8:64	9:5	10:18	11:18	12:3	13:18	14:18	2	2
1:156	2:6	3:19	4:-1	5:-1	6:32	7:25	8:156	9:6	10:19	11:25	12:25	13:23	14:18	1	1
1:156	2:6	3:19	4:25	5:25	6:25	7:24	8:156	9:6	10:19	11:25	12:25	13:32	14:6	1	1
1:156	2:6	3:19	4:-1	5:-1	6:7	7:18	8:156	9:6	10:19	11:25	12:25	13:32	14:25	1	1
1:156	2:6	3:19	4:25	5:25	6:32	7:25	8:156	9:6	10:19	11:25	12:25	13:25	14:25	1	1
1:156	2:6	3:19	4:25	5:25	6:25	7:25	8:156	9:6	10:19	11:25	12:25	13:25	14:25	1	1
1:156	2:6	3:19	4:-1	5:-1	6:25	7:25	8:156	9:6	10:19	11:25	12:25	13:25	14:24	1	1
1:156	2:6	3:19	4:25	5:25	6:25	7:24	8:156	9:6	10:19	11:10	12:16	13:30	14:18	1	1
1:156	2:6	3:19	4:10	5:16	6:30	7:18	8:156	9:6	10:19	11:25	12:25	13:25	14:25	1	1
1:0	2:4	3:19	4:25	5:20	6:21	7:18	8:0	9:4	10:19	11:23	12:20	13:32	14:13	39	39
1:70	2:5	3:19	4:24	5:30	6:0	7:32	8:70	9:5	10:19	11:0	12:25	13:0	14:32	1	1
1:70	2:5	3:19	4:18	5:23	6:7	7:18	8:70	9:5	10:19	11:32	12:32	13:7	14:10	1	1
