23	1:216	2:2	3:19	4:18	5:32	6:18	7:19	8:66	9:6	10:19	11:19	12:18	13:4	14:16
22	1:103	2:5	3:19	4:18	5:25	6:4	7:16	8:102	9:4	10:19	11:32	12:1	13:18	14:15
1	1:100	2:4	3:18	4:25	5:21	6:18	7:32	8:100	9:4	10:18	11:10	12:21	13:13	14:18
1	1:164	2:1	3:19	4:4	5:16	6:3	7:4	8:164	9:1	10:19	11:4	12:16	13:25	14:23
1	1:164	2:1	3:19	4:4	5:16	6:25	7:23	8:164	9:1	10:19	11:4	12:16	13:-1	14:-1
1	1:62	2:6	3:19	4:32	5:32	6:13	7:10	8:62	9:6	10:18	11:32	12:32	13:13	14:13
22	1:116	2:5	3:18	4:32	5:1	6:32	7:20	8:116	9:5	10:18	11:0	12:32	13:20	14:23
22	1:104	2:5	3:19	4:0	5:23	6:25	7:32	8:104	9:5	10:19	11:25	12:20	13:25	14:32
15	1:39	2:4	3:18	4:-1	5:-1	6:13	7:18	8:39	9:4	10:18	11:32	12:25	13:20	14:18
1	1:36	2:4	3:18	4:0	5:0	6:20	7:23	8:36	9:4	10:18	11:10	12:16	13:20	14:0
15	1:39	2:4	3:18	4:32	5:6	6:18	7:32	8:39	9:4	10:18	11:0	12:20	13:18	14:32
0	1:59	2:5	3:19	4:-1	5:-1	6:19	7:12	8:59	9:5	10:18	11:24	12:30	13:18	14:12
1	1:258	2:6	3:19	4:-1	5:-1	6:13	7:18	8:258	9:5	10:19	11:18	12:30	13:18	14:7
22	1:109	2:4	3:19	4:32	5:1	6:4	7:7	8:109	9:5	10:19	11:25	12:18	13:32	14:0
14	1:196	2:6	3:19	4:-1	5:-1	6:10	7:18	8:196	9:6	10:19	11:32	12:1	13:13	14:10
14	1:196	2:6	3:19	4:10	5:16	6:13	7:10	8:196	9:5	10:19	11:32	12:1	13:13	14:18
14	1:196	2:5	3:19	4:32	5:1	6:13	7:18	8:196	9:4	10:19	11:32	12:1	13:4	14:32
14	1:196	2:5	3:19	4:-1	5:0	6:10	7:18	8:196	9:6	10:19	11:32	12:1	13:13	14:10
14	1:196	2:6	3:19	4:0	5:32	6:13	7:10	8:196	9:4	10:19	11:6	12:30	13:4	14:32
14	1:196	2:6	3:19	4:32	5:25	6:10	7:18	8:196	9:5	10:19	11:20	12:25	13:10	14:18
14	1:196	2:6	3:19	4:10	5:16	6:13	7:10	8:196	9:6	10:19	11:30	12:23	13:13	14:10
14	1:196	2:6	3:19	4:-1	5:23	6:18	7:13	8:196	9:5	10:19	11:29	12:25	13:10	14:18
15	1:206	2:5	3:19	4:0	5:31	6:7	7:18	8:206	9:5	10:19	11:15	12:25	13:0	14:32
1	1:239	2:3	3:19	4:32	5:6	6:18	7:25	8:239	9:3	10:19	11:32	12:32	13:18	14:25
6	1:173	2:5	3:18	4:0	5:32	6:13	7:18	8:16	9:4	10:18	11:18	12:13	13:32	14:18
6	1:173	2:5	3:18	4:18	5:25	6:13	7:18	8:16	9:4	10:18	11:18	12:13	13:32	14:32
1	1:74	2:4	3:19	4:15	5:25	6:0	7:32	8:74	9:5	10:19	11:18	12:25	13:18	14:32
14	1:196	2:6	3:19	4:32	5:25	6:13	7:10	8:196	9:5	10:19	11:20	12:25	13:13	14:10
14	1:196	2:5	3:19	4:-1	5:-1	6:13	7:10	8:196	9:6	10:19	11:21	12:16	13:10	14:18
14	1:196	2:6	3:19	4:13	5:18	6:10	7:18	8:196	9:5	10:19	11:20	12:32	13:13	14:18
14	1:196	2:5	3:19	4:20	5:32	6:13	7:18	8:196	9:6	10:19	11:18	12:7	13:13	14:10
14	1:196	2:6	3:19	4:19	5:25	6:10	7:18	8:196	9:5	10:19	11:32	12:3	13:10	14:18
14	1:196	2:6	3:19	4:15	5:25	6:10	7:18	8:196	9:5	10:19	11:18	12:6	13:13	14:10
14	1:196	2:5	3:19	4:-1	5:-1	6:13	7:10	8:196	9:5	10:19	11:32	12:6	13:13	14:18
14	1:196	2:5	3:19	4:-1	5:32	6:13	7:18	8:196	9:6	10:19	11:18	12:7	13:13	14:10
0	1:166	2:3	3:19	4:25	5:32	6:32	7:19	8:166	9:3	10:19	11:0	12:32	13:18	14:7
39	1:166	2:3	3:19	4:25	5:32	6:32	7:19	8:166	9:3	10:19	11:0	12:32	13:18	14:7
1	1:154	2:6	3:19	4:18	5:18	6:32	7:25	8:154	9:6	10:19	11:18	12:18	13:23	14:19
22	1:116	2:5	3:19	4:20	5:25	6:0	7:0	8:116	9:5	10:18	11:32	12:25	13:32	14:32
22	1:116	2:5	3:18	4:18	5:25	6:0	7:32	8:116	9:5	10:19	11:0	12:25	13:23	14:32
22	1:116	2:5	3:19	4:0	5:25	6:23	7:32	8:116	9:5	10:18	11:20	12:25	13:0	14:32
1	1:41	2:3	3:19	4:18	5:25	6:18	7:30	8:41	9:3	10:19	11:18	12:23	13:18	14:32
1	1:73	2:3	3:19	4:0	5:23	6:32	7:18	8:73	9:3	10:19	11:20	12:32	13:18	14:25
