,rel,E1-0,NE1-0,POS1-0,POS1-2,POS1-1,POS1+1,POS1+2,E2-0,NE2-0,POS2-0,POS2-2,POS2-1,POS2+1,POS2+2
0,23,216,2,19,18,32,18,19,66,6,19,19,18,4,16
1,22,103,5,19,18,25,4,16,102,4,19,32,1,18,15
2,1,100,4,18,25,21,18,32,100,4,18,10,21,13,18
3,1,164,1,19,4,16,3,4,164,1,19,4,16,25,23
4,1,164,1,19,4,16,25,23,164,1,19,4,16,-1,-1
5,1,62,6,19,32,32,13,10,62,6,18,32,32,13,13
6,22,116,5,18,32,1,32,20,116,5,18,0,32,20,23
7,22,104,5,19,0,23,25,32,104,5,19,25,20,25,32
8,15,39,4,18,-1,-1,13,18,39,4,18,32,25,20,18
9,1,36,4,18,0,0,20,23,36,4,18,10,16,20,0
10,15,39,4,18,32,6,18,32,39,4,18,0,20,18,32
11,0,59,5,19,-1,-1,19,12,59,5,18,24,30,18,12
12,1,258,6,19,-1,-1,13,18,258,5,19,18,30,18,7
13,22,109,4,19,32,1,4,7,109,5,19,25,18,32,0
14,14,196,6,19,-1,-1,10,18,196,6,19,32,1,13,10
15,14,196,6,19,10,16,13,10,196,5,19,32,1,13,18
16,14,196,5,19,32,1,13,18,196,4,19,32,1,4,32
17,14,196,5,19,-1,0,10,18,196,6,19,32,1,13,10
18,14,196,6,19,0,32,13,10,196,4,19,6,30,4,32
19,14,196,6,19,32,25,10,18,196,5,19,20,25,10,18
20,14,196,6,19,10,16,13,10,196,6,19,30,23,13,10
21,14,196,6,19,-1,23,18,13,196,5,19,29,25,10,18
22,15,206,5,19,0,31,7,18,206,5,19,15,25,0,32
23,1,239,3,19,32,6,18,25,239,3,19,32,32,18,25
24,6,173,5,18,0,32,13,18,16,4,18,18,13,32,18
25,6,173,5,18,18,25,13,18,16,4,18,18,13,32,32
26,1,74,4,19,15,25,0,32,74,5,19,18,25,18,32
27,14,196,6,19,32,25,13,10,196,5,19,20,25,13,10
28,14,196,5,19,-1,-1,13,10,196,6,19,21,16,10,18
29,14,196,6,19,13,18,10,18,196,5,19,20,32,13,18
