苏联	国家领袖	勃列日涅夫
宝马1系	品牌	宝马
季度	中文名	季度
林肯中心	中文名	林肯中心
林肯中心	中文名	林肯中心
兰托	中文名	兰托
广汽传祺	品牌	广汽传祺
宝马3系	品牌	宝马3系
东风雪铁龙	公司名称	东风雪铁龙
东风标致	中文名	东风标致
东风雪铁龙	公司名称	东风雪铁龙
保时捷	BaiduTAG	保时捷
雷克萨斯	中文名	雷克萨斯
宝马M3	品牌	宝马M3
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
索尼	公司名称	索尼
金沙江	中文名	金沙江
沃尔沃	主要农产品	XC60
沃尔沃	主要农产品	XC60
华晨中华	中文名	华晨中华
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
朱小燚	中文名	朱小燚
广汽传祺	品牌	广汽传祺
广汽传祺	品牌	广汽传祺
广汽传祺	品牌	广汽传祺
中东	中文名	中东
北美	中文名	北美
阿特兹	品牌	阿特兹
阿特兹	品牌	阿特兹
液晶	中文名	液晶
范冰冰	中文名	范冰冰
雷克萨斯	主要车型	ES
新浪	公司名称	新浪
km	中文名	km
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧蓝德	中文名	欧蓝德
雷克萨斯	主要车型	LS
雷克萨斯	主要车型	LS
雷克萨斯	中文名	雷克萨斯
上汽大通	中文名	上汽大通
杨学良	国籍	中国
福特	公司口号	福特
沃尔沃	主要农产品	XC60
宝马X3	BaiduTAG	宝马
宝马X3	品牌	宝马
宝马X3	BaiduTAG	宝马
宝马X3	品牌	宝马
东风雪铁龙	公司名称	东风雪铁龙
宝马5系	品牌	宝马5系
km	中文名	km
km	中文名	km
三菱	中文名	三菱
奥迪Q2	所属公司	奥迪
沃尔沃	主要农产品	XC60
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
福特	公司口号	福特
福特	公司口号	福特
汉马	中文名	汉马
汉马	中文名	汉马
汉马	中文名	汉马
东风标致	中文名	东风标致
雷克萨斯	中文名	雷克萨斯
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
东风雪铁龙	公司名称	东风雪铁龙
TFSI	中文名	TFSI
TFSI	中文名	TFSI
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
宝马Z4	品牌	宝马
保时捷	BaiduTAG	保时捷
福特福克斯	生产厂家	福特
北美	中文名	北美
保时捷	BaiduTAG	保时捷
宝马X3	BaiduTAG	宝马
宝马X3	品牌	宝马
km	中文名	km
宾利	主要农产品	欧陆
奔驰S级	竞争对手	宝马7系
雷克萨斯	中文名	雷克萨斯
阿斯顿·马丁	公司名称	阿斯顿·马丁
阿斯顿·马丁	公司名称	阿斯顿·马丁
斯巴鲁	公司名称	斯巴鲁
西雅特	公司名称	西雅特
菲亚特	公司名称	菲亚特
菲亚特	公司名称	菲亚特
菲亚特	公司名称	菲亚特
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
雷克萨斯	主要车型	RX
雷克萨斯	主要车型	LX
阿斯顿·马丁	公司名称	阿斯顿·马丁
宝马X3	BaiduTAG	宝马
宝马X3	品牌	宝马
宝马8系	中文名	宝马8系
宝马8系	中文名	宝马8系
阿斯顿·马丁	公司名称	阿斯顿·马丁
三菱	中文名	三菱
阿斯顿·马丁	公司名称	阿斯顿·马丁
宝马X3	BaiduTAG	宝马
宝马X3	品牌	宝马
宝马Z4	品牌	宝马
广汽本田	中文名	广汽本田
福特	公司口号	福特
保时捷911	品牌	保时捷
克莱斯勒	公司名称	克莱斯勒
奥迪Q8	生产厂家	奥迪公司
雷克萨斯	中文名	雷克萨斯
阿斯顿·马丁	公司名称	阿斯顿·马丁
雷克萨斯LS	品牌	雷克萨斯
雷克萨斯LS	生产厂家	雷克萨斯
雷克萨斯	主要市场	北美
沃尔沃	主要农产品	XC60
克莱斯勒	公司名称	克莱斯勒
宝马8系	中文名	宝马8系
福特	公司口号	福特
法拉利	主要农产品	California
Cullinan	外文名	Cullinan
迈凯轮	中文名	迈凯轮
迈凯轮	中文名	迈凯轮
福特	公司口号	福特
雷克萨斯	主要车型	LX
宝马8系	中文名	宝马8系
陈光祖	国籍	中国
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
徐留平	中文名	徐留平
亚洲	中文名	亚洲
亚洲	中文名	亚洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
张夕勇	中文名	张夕勇
凤凰	中文学名	凤凰
凤凰	中文学名	凤凰
凤凰	中文学名	凤凰
凤凰	中文学名	凤凰
高德	中文名	高德
高德	中文名	高德
海立股份	中文名	海立股份
温宏	中文名	温宏
温宏	中文名	温宏
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
法兰克福车展	展会名称	法兰克福车展
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
李书福	中文名	李书福
大众集团	公司名称	大众集团
大众集团	公司名称	大众集团
李书福	中文名	李书福
大众集团	公司名称	大众集团
大众集团	公司名称	大众集团
孙红雷	中文名	孙红雷
孙红雷	中文名	孙红雷
索兰托	生产厂家	起亚
索兰托	生产厂家	起亚
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
福特	公司口号	福特
福特	公司口号	福特
COC	缩写	COC
戴姆勒	公司名称	戴姆勒股份公司
北汽集团	公司名称	北汽集团
柯达公司	公司名称	柯达公司
柯达公司	公司名称	柯达公司
上汽集团	公司简称	上汽集团
上汽集团	公司简称	上汽集团
上汽集团	公司简称	上汽集团
上汽大通	中文名	上汽大通
上汽集团	公司简称	上汽集团
上汽集团	公司简称	上汽集团
季度	中文名	季度
季度	中文名	季度
谭本宏	中文名	谭本宏
冯兴亚	中文名	冯兴亚
北美	中文名	北美
谭本宏	中文名	谭本宏
长安商城	中文名	长安商城
徐和谊	中文名	徐和谊
辛国斌	中文名	辛国斌
福睿斯	生产厂家	长安福特
蓝凌	公司名称	蓝凌
成都	别名	蓉城
五星战队	中文名	五星战队
邵景峰	中文名	邵景峰
李书福	国籍	中国
福特	公司口号	福特
km	中文名	km
福特	公司名称	福特汽车公司
罗磊	中文名	罗磊
福特	公司口号	福特
哈弗H6	中文名	哈弗H6
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
华晨汽车工程研究院	公司名称	华晨汽车工程研究院
菲亚特	公司名称	菲亚特
李书福	中文名	李书福
北美	包含	美国
亚洲	中文名	亚洲
福睿斯	品牌	福睿斯
福睿斯	生产厂家	长安福特
福睿斯	品牌	福睿斯
福睿斯	生产厂家	长安福特
福特	公司口号	福特
乐视汽车	中文名	乐视汽车
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
季度	中文名	季度
长安铃木锋驭	品牌	长安铃木
奥迪A6L	品牌	奥迪
乐视汽车	中文名	乐视汽车
乐视汽车	中文名	乐视汽车
徐留平	中文名	徐留平
中国兵器装备集团公司	其他名称	中国南方工业集团公司
徐留平	中文名	徐留平
乐视	创始人	贾跃亭
日韩	中文名	日韩
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
宝马3系	品牌	宝马3系
高德	中文名	高德
高德	中文名	高德
季度	中文名	季度
东风汽车有限公司	公司名称	东风汽车有限公司
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
福特	公司口号	福特
福特	公司口号	福特
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
东南亚	中文名	东南亚
广汽传祺	品牌	广汽传祺
广汽传祺	品牌	广汽传祺
比亚迪股份有限公司	创始人	王传福
上年	中文名	上年
韩红爱心慈善基金会	知名人物	韩红
张建松	中文名	张建松
长城	中文名	长城
乐视	创始人	贾跃亭
乐视	创始人	贾跃亭
乐视	创始人	贾跃亭
贾跃亭	中文名	贾跃亭
贾跃亭	中文名	贾跃亭
乐视汽车	中文名	乐视汽车
凤凰	中文学名	凤凰
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
李彦宏	中文名	李彦宏
C-NCAP	简称	C-NCAP
北京汽车博物馆	中文名	北京汽车博物馆
北京汽车博物馆	中文名	北京汽车博物馆
北京汽车博物馆	中文名	北京汽车博物馆
北京汽车博物馆	中文名	北京汽车博物馆
北京市公安局东城分局	中文名	北京市公安局东城分局
上汽集团	公司简称	上汽集团
阿斯顿·马丁	公司名称	阿斯顿·马丁
阿斯顿	中文名	阿斯顿
福特	公司口号	福特
东南亚	中文名	东南亚
林吉特	中文名	林吉特
东南亚	中文名	东南亚
李书福	中文名	李书福
林吉特	中文名	林吉特
季度	中文名	季度
季度	中文名	季度
季度	中文名	季度
福特	公司口号	福特
福特	公司口号	福特
中国汽车流通协会	中文名	中国汽车流通协会
上汽集团	公司简称	上汽集团
德黑兰	所属地区	伊朗
五星	中文名	五星
季度	中文名	季度
政府	中文名	政府
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
东风雷诺汽车有限公司	中文名	东风雷诺汽车有限公司
福特	公司口号	福特
福特	公司口号	福特
一汽轿车	公司名称	一汽轿车股份有限公司
廉玉波	中文名	廉玉波
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
凤凰	中文学名	凤凰
苏岭	中文名	苏岭
北美	中文名	北美
德尔福	公司名称	德尔福
秦焕明	中文名	秦焕明
秦焕明	中文名	秦焕明
亚洲	中文名	亚洲
李想	中文名	李想
李想	中文名	李想
萨博9-3	品牌	萨博
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
季度	中文名	季度
季度	中文名	季度
季度	中文名	季度
奥迪公司	外文名称	奥迪
上汽集团	公司简称	上汽集团
福特	公司口号	福特
李书福	中文名	李书福
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
吉姆	中文名	吉姆
中东	中文名	中东
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
上年	中文名	上年
廉玉波	中文名	廉玉波
奥迪公司	外文名称	奥迪
大众集团	公司名称	大众集团
李书福	中文名	李书福
李书福	中文名	李书福
财年	中文名	财年
季度	中文名	季度
km	中文名	km
北美	中文名	北美
德黑兰	所属地区	伊朗
一汽奥迪	中文名	一汽奥迪
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
大众集团	旗下品牌	斯柯达
杭州湾	中文名	杭州湾
广饶县	中文名	广饶县
财年	中文名	财年
TFSI	中文名	TFSI
第二汽车制造厂	也称	二汽
至今	中文名	至今
大众集团	公司名称	大众集团
大众集团	旗下品牌	斯柯达
大众集团	公司名称	大众集团
上汽集团	公司简称	上汽集团
乐视汽车	中文名	乐视汽车
乐视汽车	中文名	乐视汽车
德清县	中文名	德清县
乐视汽车	中文名	乐视汽车
SKF	中文名	斯凯孚
上汽集团	公司简称	上汽集团
上汽集团	公司简称	上汽集团
广汽传祺	品牌	广汽传祺
斯巴鲁	公司名称	斯巴鲁
奥运	中文名	奥运
福特	公司口号	福特
福特	公司口号	福特
大众集团	公司名称	大众集团
大众集团	公司名称	大众集团
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
长城	中文名	长城
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
乐视	创始人	贾跃亭
沃尔沃S60	品牌	沃尔沃
斯巴鲁	公司名称	斯巴鲁
地球	中文名	地球
季度	中文名	季度
三菱	中文名	三菱
三菱汽车	中文名	三菱汽车
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
季度	中文名	季度
季度	中文名	季度
北美	中文名	北美
北美	中文名	北美
北美	中文名	北美
北美	中文名	北美
北美	中文名	北美
福特	公司口号	福特
季度	中文名	季度
三菱	中文名	三菱
三菱	中文名	三菱
三菱	中文名	三菱
三菱	中文名	三菱
三菱	中文名	三菱
季度	中文名	季度
季度	中文名	季度
季度	中文名	季度
贾亚权	中文名	贾亚权
贾亚权	中文名	贾亚权
贾亚权	中文名	贾亚权
贾亚权	中文名	贾亚权
贾亚权	中文名	贾亚权
贾亚权	中文名	贾亚权
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
彭于晏	中文名	彭于晏
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
彭于晏	中文名	彭于晏
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
广汽传祺	品牌	广汽传祺
CO	中文名	CO
CO	中文名	CO
港元	中文名	港元
港元	中文名	港元
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
东风本田汽车有限公司	公司名称	东风本田汽车有限公司
东风本田汽车有限公司	公司名称	东风本田汽车有限公司
徐留平	中文名	徐留平
五星	中文名	五星
五星	中文名	五星
五星	中文名	五星
上汽集团	公司简称	上汽集团
东风汽车公司	公司名称	东风汽车公司
雷克萨斯	中文名	雷克萨斯
杨美虹	中文名	杨美虹
广汽本田	中文名	广汽本田
广汽本田	中文名	广汽本田
上汽集团	公司简称	上汽集团
西雅特	公司名称	西雅特
乐视汽车	中文名	乐视汽车
乐视汽车	中文名	乐视汽车
乐视汽车	中文名	乐视汽车
乐视汽车	中文名	乐视汽车
乐视汽车	中文名	乐视汽车
鲁冠球	主要公司	万向集团
鲁冠球	毕业院校	万向集团
秦荣华	中文名	秦荣华
李书福	中文名	李书福
行驶	中文名	行驶
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
财年	中文名	财年
保时捷	BaiduTAG	保时捷
广汽传祺	品牌	广汽传祺
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧盟委员会	中文名	欧盟委员会
东风雪铁龙	公司名称	东风雪铁龙
东风雪铁龙	公司名称	东风雪铁龙
三菱	中文名	三菱
三菱	中文名	三菱
北美	中文名	北美
雷克萨斯	主要市场	北美
北美	中文名	北美
北美	中文名	北美
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
雷克萨斯	主要市场	欧洲
戴姆勒集团	公司名称	戴姆勒集团
戴姆勒集团	公司名称	戴姆勒集团
徐骏	中文名	徐骏
奥迪A6L	品牌	奥迪
克莱斯勒	公司名称	克莱斯勒
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上汽大通	中文名	上汽大通
上年	中文名	上年
广汽本田	中文名	广汽本田
广汽本田	中文名	广汽本田
季度	中文名	季度
大众集团	公司名称	大众集团
东南亚	中文名	东南亚
雷克萨斯	中文名	雷克萨斯
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
雷克萨斯	中文名	雷克萨斯
雷克萨斯	主要车型	LX
雷克萨斯	主要车型	LX
东南亚	中文名	东南亚
上汽集团	公司简称	上汽集团
一二	中文名	一二
大众集团	公司名称	大众集团
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
瑞典克朗	中文名	瑞典克朗
阿尔法·罗密欧	公司名称	阿尔法·罗密欧
沃尔沃	主要农产品	XC60
奥迪Q5	品牌	奥迪
上汽集团	公司简称	上汽集团
季度	中文名	季度
大众集团	旗下品牌	斯柯达
丁酉年	中文名	丁酉年
威廉·迈巴赫	外文名	WilhelmMaybach
上汽集团	公司简称	上汽集团
上汽集团	公司简称	上汽集团
福特	公司口号	福特
离骚	作者	屈原
许智俊	中文名	许智俊
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
季度	中文名	季度
沃尔沃	主要农产品	XC60
轩辕奖	中文名	轩辕奖
福特	公司口号	福特
广汽传祺	品牌	广汽传祺
大众集团	公司名称	大众集团
大众集团	公司名称	大众集团
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
雷克萨斯	中文名	雷克萨斯
雷克萨斯	中文名	雷克萨斯
许智俊	中文名	许智俊
大众集团	公司名称	大众集团
东风雪铁龙	公司名称	东风雪铁龙
美国国家公路交通安全管理局	外文名	NHTSA
新能源	中文名	新能源
冯兴亚	中文名	冯兴亚
上汽集团	公司简称	上汽集团
斯巴鲁	公司名称	斯巴鲁
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
福特	公司口号	福特
三菱	中文名	三菱
三菱	中文名	三菱
三菱	中文名	三菱
三菱	中文名	三菱
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
三菱	中文名	三菱
上汽集团	公司简称	上汽集团
上汽集团	公司简称	上汽集团
陈清泰	国籍	中国
张丕杰	中文名	张丕杰
美国国家公路交通安全管理局	外文名	NHTSA
美国国家公路交通安全管理局	外文名	NHTSA
陈威旭	中文名	陈威旭
宝马7系	品牌	宝马
福特	公司口号	福特
福特	公司口号	福特
汉兰达	生产厂家	广汽丰田
季度	中文名	季度
林肯中心	中文名	林肯中心
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
季度	中文名	季度
季度	中文名	季度
中东	中文名	中东
福特	公司口号	福特
北京汽车	全称	北京汽车股份有限公司
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
北汽集团	公司名称	北汽集团
新浪	公司名称	新浪
中文	中文名	中文
上汽集团	公司简称	上汽集团
曾昭雄	中文名	曾昭雄
华晨中华	中文名	华晨中华
上年	中文名	上年
上年	中文名	上年
上年	中文名	上年
上年	中文名	上年
上年	中文名	上年
邵景峰	中文名	邵景峰
联合国	中文名	联合国
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
欧洲	BaiduTAG	欧洲
欧洲	简称	欧洲
奥德赛	书名	奥德赛
